Flight No.,Date and time (UTC),"Version, booster[h]",Launch site,Payload[i],Payload mass,Orbit,Customer,Launch outcome,Booster landing,source_table
423,"January 13, 2025 16:47[463]",F9 B5 B1080‑15,"Cape Canaveral, SLC‑40",Starlink: Group 12-4 (21 satellites),"~16,500 kg (36,400 lb)",LEO,SpaceX,Success,Success (ASOG),2
423,"Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.",2
424,"January 14, 2025 19:09[464]",F9 B5 B1088‑2,"Vandenberg, SLC‑4E",Transporter-12 (131 payload smallsat rideshare),"2,000 kg (4,400 lb)",SSO,Various,Success,Success (LZ‑4),2
424,Dedicated SmallSat Rideshare mission to sun-synchronous orbit.,Dedicated SmallSat Rideshare mission to sun-synchronous orbit.,Dedicated SmallSat Rideshare mission to sun-synchronous orbit.,Dedicated SmallSat Rideshare mission to sun-synchronous orbit.,Dedicated SmallSat Rideshare mission to sun-synchronous orbit.,Dedicated SmallSat Rideshare mission to sun-synchronous orbit.,Dedicated SmallSat Rideshare mission to sun-synchronous orbit.,Dedicated SmallSat Rideshare mission to sun-synchronous orbit.,Dedicated SmallSat Rideshare mission to sun-synchronous orbit.,2
425,"January 15, 2025 06:11[465]",F9 B5 B1085‑5,"Kennedy, LC‑39A",Blue Ghost Mission 1,"2,517 kg (5,549 lb)",TLI,Firefly Aerospace & NASA (CLPS),Success,Success (JRTI),2
425,"January 15, 2025 06:11[465]",F9 B5 B1085‑5,"Kennedy, LC‑39A",Hakuto-R Mission 2,"2,517 kg (5,549 lb)",TLI,ispace,Success,Success (JRTI),2
425,"Both Blue Ghost Mission 1[466][467] and Hakuto-R Mission 2 (Resilience lander)[468][469] launched together on a single rocket (first of its kind deep space lander launch). Blue Ghost will carry 10 payloads for NASA's Commercial Lunar Payload Services task order 19D mission and other separately contracted payloads.[470] Resilience is the second lunar lander built by Japanese company ispace and will deliver TENACIOUS mini rover to the lunar surface. To house both landers in the payload fairing, SpaceX used a new dual-launch carrying structure.","Both Blue Ghost Mission 1[466][467] and Hakuto-R Mission 2 (Resilience lander)[468][469] launched together on a single rocket (first of its kind deep space lander launch). Blue Ghost will carry 10 payloads for NASA's Commercial Lunar Payload Services task order 19D mission and other separately contracted payloads.[470] Resilience is the second lunar lander built by Japanese company ispace and will deliver TENACIOUS mini rover to the lunar surface. To house both landers in the payload fairing, SpaceX used a new dual-launch carrying structure.","Both Blue Ghost Mission 1[466][467] and Hakuto-R Mission 2 (Resilience lander)[468][469] launched together on a single rocket (first of its kind deep space lander launch). Blue Ghost will carry 10 payloads for NASA's Commercial Lunar Payload Services task order 19D mission and other separately contracted payloads.[470] Resilience is the second lunar lander built by Japanese company ispace and will deliver TENACIOUS mini rover to the lunar surface. To house both landers in the payload fairing, SpaceX used a new dual-launch carrying structure.","Both Blue Ghost Mission 1[466][467] and Hakuto-R Mission 2 (Resilience lander)[468][469] launched together on a single rocket (first of its kind deep space lander launch). Blue Ghost will carry 10 payloads for NASA's Commercial Lunar Payload Services task order 19D mission and other separately contracted payloads.[470] Resilience is the second lunar lander built by Japanese company ispace and will deliver TENACIOUS mini rover to the lunar surface. To house both landers in the payload fairing, SpaceX used a new dual-launch carrying structure.","Both Blue Ghost Mission 1[466][467] and Hakuto-R Mission 2 (Resilience lander)[468][469] launched together on a single rocket (first of its kind deep space lander launch). Blue Ghost will carry 10 payloads for NASA's Commercial Lunar Payload Services task order 19D mission and other separately contracted payloads.[470] Resilience is the second lunar lander built by Japanese company ispace and will deliver TENACIOUS mini rover to the lunar surface. To house both landers in the payload fairing, SpaceX used a new dual-launch carrying structure.","Both Blue Ghost Mission 1[466][467] and Hakuto-R Mission 2 (Resilience lander)[468][469] launched together on a single rocket (first of its kind deep space lander launch). Blue Ghost will carry 10 payloads for NASA's Commercial Lunar Payload Services task order 19D mission and other separately contracted payloads.[470] Resilience is the second lunar lander built by Japanese company ispace and will deliver TENACIOUS mini rover to the lunar surface. To house both landers in the payload fairing, SpaceX used a new dual-launch carrying structure.","Both Blue Ghost Mission 1[466][467] and Hakuto-R Mission 2 (Resilience lander)[468][469] launched together on a single rocket (first of its kind deep space lander launch). Blue Ghost will carry 10 payloads for NASA's Commercial Lunar Payload Services task order 19D mission and other separately contracted payloads.[470] Resilience is the second lunar lander built by Japanese company ispace and will deliver TENACIOUS mini rover to the lunar surface. To house both landers in the payload fairing, SpaceX used a new dual-launch carrying structure.","Both Blue Ghost Mission 1[466][467] and Hakuto-R Mission 2 (Resilience lander)[468][469] launched together on a single rocket (first of its kind deep space lander launch). Blue Ghost will carry 10 payloads for NASA's Commercial Lunar Payload Services task order 19D mission and other separately contracted payloads.[470] Resilience is the second lunar lander built by Japanese company ispace and will deliver TENACIOUS mini rover to the lunar surface. To house both landers in the payload fairing, SpaceX used a new dual-launch carrying structure.","Both Blue Ghost Mission 1[466][467] and Hakuto-R Mission 2 (Resilience lander)[468][469] launched together on a single rocket (first of its kind deep space lander launch). Blue Ghost will carry 10 payloads for NASA's Commercial Lunar Payload Services task order 19D mission and other separately contracted payloads.[470] Resilience is the second lunar lander built by Japanese company ispace and will deliver TENACIOUS mini rover to the lunar surface. To house both landers in the payload fairing, SpaceX used a new dual-launch carrying structure.",2
426,"January 21, 2025 05:24[471]",F9 B5 B1083‑8,"Kennedy, LC‑39A",Starlink: Group 13-1 (21 satellites) + 2 Starshield satellites,"~15,300 kg (33,700 lb) (Starlink)",LEO,SpaceX,Success,Success (ASOG),2
426,Launch of 21 Starlink v2 mini satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation and two SpaceX Starshield satellites as rideshare.[472],Launch of 21 Starlink v2 mini satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation and two SpaceX Starshield satellites as rideshare.[472],Launch of 21 Starlink v2 mini satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation and two SpaceX Starshield satellites as rideshare.[472],Launch of 21 Starlink v2 mini satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation and two SpaceX Starshield satellites as rideshare.[472],Launch of 21 Starlink v2 mini satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation and two SpaceX Starshield satellites as rideshare.[472],Launch of 21 Starlink v2 mini satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation and two SpaceX Starshield satellites as rideshare.[472],Launch of 21 Starlink v2 mini satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation and two SpaceX Starshield satellites as rideshare.[472],Launch of 21 Starlink v2 mini satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation and two SpaceX Starshield satellites as rideshare.[472],Launch of 21 Starlink v2 mini satellites to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation and two SpaceX Starshield satellites as rideshare.[472],2
427,"January 21, 2025 15:45[473]",F9 B5 B1082‑10,"Vandenberg, SLC‑4E",Starlink: Group 11-8 (27 satellites),"~15,500 kg (34,200 lb)",LEO,SpaceX,Success,Success (OCISLY),2
427,Launch of 27 Starlink v2 mini optimized satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. Mission marks 400th Falcon booster landing.,Launch of 27 Starlink v2 mini optimized satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. Mission marks 400th Falcon booster landing.,Launch of 27 Starlink v2 mini optimized satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. Mission marks 400th Falcon booster landing.,Launch of 27 Starlink v2 mini optimized satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. Mission marks 400th Falcon booster landing.,Launch of 27 Starlink v2 mini optimized satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. Mission marks 400th Falcon booster landing.,Launch of 27 Starlink v2 mini optimized satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. Mission marks 400th Falcon booster landing.,Launch of 27 Starlink v2 mini optimized satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. Mission marks 400th Falcon booster landing.,Launch of 27 Starlink v2 mini optimized satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. Mission marks 400th Falcon booster landing.,Launch of 27 Starlink v2 mini optimized satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. Mission marks 400th Falcon booster landing.,2
428,"January 24, 2025 14:07[474]",F9 B5 B1063‑23,"Vandenberg, SLC‑4E",Starlink: Group 11-6 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (OCISLY),2
428,"Launch of 23 Starlink v2 mini satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. With this launch, SpaceX has broken its pad turnaround time record at Space Launch Complex 4 East. Previous record was 3 days, 15 hours, 23 minutes, and 40 seconds, this has now gone down to 2 days, 22 hours, 21 minutes, and 10 seconds.","Launch of 23 Starlink v2 mini satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. With this launch, SpaceX has broken its pad turnaround time record at Space Launch Complex 4 East. Previous record was 3 days, 15 hours, 23 minutes, and 40 seconds, this has now gone down to 2 days, 22 hours, 21 minutes, and 10 seconds.","Launch of 23 Starlink v2 mini satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. With this launch, SpaceX has broken its pad turnaround time record at Space Launch Complex 4 East. Previous record was 3 days, 15 hours, 23 minutes, and 40 seconds, this has now gone down to 2 days, 22 hours, 21 minutes, and 10 seconds.","Launch of 23 Starlink v2 mini satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. With this launch, SpaceX has broken its pad turnaround time record at Space Launch Complex 4 East. Previous record was 3 days, 15 hours, 23 minutes, and 40 seconds, this has now gone down to 2 days, 22 hours, 21 minutes, and 10 seconds.","Launch of 23 Starlink v2 mini satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. With this launch, SpaceX has broken its pad turnaround time record at Space Launch Complex 4 East. Previous record was 3 days, 15 hours, 23 minutes, and 40 seconds, this has now gone down to 2 days, 22 hours, 21 minutes, and 10 seconds.","Launch of 23 Starlink v2 mini satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. With this launch, SpaceX has broken its pad turnaround time record at Space Launch Complex 4 East. Previous record was 3 days, 15 hours, 23 minutes, and 40 seconds, this has now gone down to 2 days, 22 hours, 21 minutes, and 10 seconds.","Launch of 23 Starlink v2 mini satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. With this launch, SpaceX has broken its pad turnaround time record at Space Launch Complex 4 East. Previous record was 3 days, 15 hours, 23 minutes, and 40 seconds, this has now gone down to 2 days, 22 hours, 21 minutes, and 10 seconds.","Launch of 23 Starlink v2 mini satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. With this launch, SpaceX has broken its pad turnaround time record at Space Launch Complex 4 East. Previous record was 3 days, 15 hours, 23 minutes, and 40 seconds, this has now gone down to 2 days, 22 hours, 21 minutes, and 10 seconds.","Launch of 23 Starlink v2 mini satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. With this launch, SpaceX has broken its pad turnaround time record at Space Launch Complex 4 East. Previous record was 3 days, 15 hours, 23 minutes, and 40 seconds, this has now gone down to 2 days, 22 hours, 21 minutes, and 10 seconds.",2
429,"January 27, 2025 22:05[475]",F9 B5 B1076‑20,"Cape Canaveral, SLC‑40",Starlink: Group 12-7 (21 satellites),"~16,500 kg (36,400 lb)",LEO,SpaceX,Success,Success (ASOG),2
429,"Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.",2
430,"January 30, 2025 01:34[476]",F9 B5 B1073‑21,"Kennedy, LC‑39A",Spainsat NG I,"6,100 kg (13,400 lb)[477]",GTO,Hisdesat,Success,No attempt,2
430,Communications satellite built on the Eurostar-Neo platform for the Spanish government.[478] First of two launches for the Spainsat NG program. The booster was expended due to the performance needed to launch the satellite's mass to a geostationary transfer orbit.,Communications satellite built on the Eurostar-Neo platform for the Spanish government.[478] First of two launches for the Spainsat NG program. The booster was expended due to the performance needed to launch the satellite's mass to a geostationary transfer orbit.,Communications satellite built on the Eurostar-Neo platform for the Spanish government.[478] First of two launches for the Spainsat NG program. The booster was expended due to the performance needed to launch the satellite's mass to a geostationary transfer orbit.,Communications satellite built on the Eurostar-Neo platform for the Spanish government.[478] First of two launches for the Spainsat NG program. The booster was expended due to the performance needed to launch the satellite's mass to a geostationary transfer orbit.,Communications satellite built on the Eurostar-Neo platform for the Spanish government.[478] First of two launches for the Spainsat NG program. The booster was expended due to the performance needed to launch the satellite's mass to a geostationary transfer orbit.,Communications satellite built on the Eurostar-Neo platform for the Spanish government.[478] First of two launches for the Spainsat NG program. The booster was expended due to the performance needed to launch the satellite's mass to a geostationary transfer orbit.,Communications satellite built on the Eurostar-Neo platform for the Spanish government.[478] First of two launches for the Spainsat NG program. The booster was expended due to the performance needed to launch the satellite's mass to a geostationary transfer orbit.,Communications satellite built on the Eurostar-Neo platform for the Spanish government.[478] First of two launches for the Spainsat NG program. The booster was expended due to the performance needed to launch the satellite's mass to a geostationary transfer orbit.,Communications satellite built on the Eurostar-Neo platform for the Spanish government.[478] First of two launches for the Spainsat NG program. The booster was expended due to the performance needed to launch the satellite's mass to a geostationary transfer orbit.,2
431,"February 1, 2025 23:02[479]",F9 B5 B1075‑17,"Vandenberg, SLC-4E",Starlink: Group 11-4 (22 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success (OCISLY),2
431,"Launch of 22 Starlink v2 mini satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. Even though the second stage was expected to deorbit for a controlled splashdown, the second stage's deorbit burn did not occur, causing it to remain in orbit. This was the third time in six months that a second stage has encountered a problem in flight.[480] The stage made its uncontrolled reentry over Poland between 04:46 and 04:48, local time, on February 19.[481] Several tanks that crashed in the western part of the country were collected by the Polish police.[482]","Launch of 22 Starlink v2 mini satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. Even though the second stage was expected to deorbit for a controlled splashdown, the second stage's deorbit burn did not occur, causing it to remain in orbit. This was the third time in six months that a second stage has encountered a problem in flight.[480] The stage made its uncontrolled reentry over Poland between 04:46 and 04:48, local time, on February 19.[481] Several tanks that crashed in the western part of the country were collected by the Polish police.[482]","Launch of 22 Starlink v2 mini satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. Even though the second stage was expected to deorbit for a controlled splashdown, the second stage's deorbit burn did not occur, causing it to remain in orbit. This was the third time in six months that a second stage has encountered a problem in flight.[480] The stage made its uncontrolled reentry over Poland between 04:46 and 04:48, local time, on February 19.[481] Several tanks that crashed in the western part of the country were collected by the Polish police.[482]","Launch of 22 Starlink v2 mini satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. Even though the second stage was expected to deorbit for a controlled splashdown, the second stage's deorbit burn did not occur, causing it to remain in orbit. This was the third time in six months that a second stage has encountered a problem in flight.[480] The stage made its uncontrolled reentry over Poland between 04:46 and 04:48, local time, on February 19.[481] Several tanks that crashed in the western part of the country were collected by the Polish police.[482]","Launch of 22 Starlink v2 mini satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. Even though the second stage was expected to deorbit for a controlled splashdown, the second stage's deorbit burn did not occur, causing it to remain in orbit. This was the third time in six months that a second stage has encountered a problem in flight.[480] The stage made its uncontrolled reentry over Poland between 04:46 and 04:48, local time, on February 19.[481] Several tanks that crashed in the western part of the country were collected by the Polish police.[482]","Launch of 22 Starlink v2 mini satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. Even though the second stage was expected to deorbit for a controlled splashdown, the second stage's deorbit burn did not occur, causing it to remain in orbit. This was the third time in six months that a second stage has encountered a problem in flight.[480] The stage made its uncontrolled reentry over Poland between 04:46 and 04:48, local time, on February 19.[481] Several tanks that crashed in the western part of the country were collected by the Polish police.[482]","Launch of 22 Starlink v2 mini satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. Even though the second stage was expected to deorbit for a controlled splashdown, the second stage's deorbit burn did not occur, causing it to remain in orbit. This was the third time in six months that a second stage has encountered a problem in flight.[480] The stage made its uncontrolled reentry over Poland between 04:46 and 04:48, local time, on February 19.[481] Several tanks that crashed in the western part of the country were collected by the Polish police.[482]","Launch of 22 Starlink v2 mini satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. Even though the second stage was expected to deorbit for a controlled splashdown, the second stage's deorbit burn did not occur, causing it to remain in orbit. This was the third time in six months that a second stage has encountered a problem in flight.[480] The stage made its uncontrolled reentry over Poland between 04:46 and 04:48, local time, on February 19.[481] Several tanks that crashed in the western part of the country were collected by the Polish police.[482]","Launch of 22 Starlink v2 mini satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. Even though the second stage was expected to deorbit for a controlled splashdown, the second stage's deorbit burn did not occur, causing it to remain in orbit. This was the third time in six months that a second stage has encountered a problem in flight.[480] The stage made its uncontrolled reentry over Poland between 04:46 and 04:48, local time, on February 19.[481] Several tanks that crashed in the western part of the country were collected by the Polish police.[482]",2
432,"February 4, 2025 10:15[483]",F9 B5 B1069‑21,"Cape Canaveral, SLC‑40",Starlink: Group 12-3 (21 satellites),"~16,500 kg (36,400 lb)",LEO,SpaceX,Success,Success (JRTI),2
432,"Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.",2
433,"February 4, 2025 23:13[484]",F9 B5 B1086‑4,"Kennedy, LC‑39A",WorldView Legion 5 & 6 (2 satellites),"1,500 kg (3,300 lb)",LEO,Maxar Technologies,Success,Success (LZ‑1),2
433,Two earth observation satellites built by Maxar Technologies.[485][486][487] Seventh time a second stage featured Falcon medium coast mission-extension kit.,Two earth observation satellites built by Maxar Technologies.[485][486][487] Seventh time a second stage featured Falcon medium coast mission-extension kit.,Two earth observation satellites built by Maxar Technologies.[485][486][487] Seventh time a second stage featured Falcon medium coast mission-extension kit.,Two earth observation satellites built by Maxar Technologies.[485][486][487] Seventh time a second stage featured Falcon medium coast mission-extension kit.,Two earth observation satellites built by Maxar Technologies.[485][486][487] Seventh time a second stage featured Falcon medium coast mission-extension kit.,Two earth observation satellites built by Maxar Technologies.[485][486][487] Seventh time a second stage featured Falcon medium coast mission-extension kit.,Two earth observation satellites built by Maxar Technologies.[485][486][487] Seventh time a second stage featured Falcon medium coast mission-extension kit.,Two earth observation satellites built by Maxar Technologies.[485][486][487] Seventh time a second stage featured Falcon medium coast mission-extension kit.,Two earth observation satellites built by Maxar Technologies.[485][486][487] Seventh time a second stage featured Falcon medium coast mission-extension kit.,2
434,"February 8, 2025 19:18[488]",F9 B5 B1078‑17,"Cape Canaveral, SLC‑40",Starlink: Group 12-9 (21 satellites),"~16,500 kg (36,400 lb)",LEO,SpaceX,Success,Success (ASOG),2
434,"Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.",2
435,"February 11, 2025 02:09[489]",F9 B5 B1071‑23,"Vandenberg, SLC-4E",Starlink: Group 11-10 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (OCISLY),2
435,Launch of 23 Starlink v2 mini satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.,2
436,"February 11, 2025 18:53[490]",F9 B5 B1077‑18,"Cape Canaveral, SLC‑40",Starlink: Group 12-18 (21 satellites),"~16,500 kg (36,400 lb)",LEO,SpaceX,Success,Success (JRTI),2
436,"Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.","Launch of 21 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 559 km (347 mi) orbit at an inclination of 43° to expand internet constellation.",2
437,"February 15, 2025 06:14",F9 B5  B1067‑26,"Cape Canaveral, SLC‑40",Starlink: Group 12-8 (21 satellites),"~16,500 kg (36,400 lb)",LEO,SpaceX,Success,Success (ASOG),2
